question,category,a1,p1,a2,p2,a3,p3,a4,p4,a5,p5,a6,p6
اذكر شيء يخلّيك تشعر بالدفء,عامة,البطانية السميكة,28,كوب شاي أو قهوة ساخنة,22,الجاكيت الشتوي,18,الشمس,14,النار والحطب,10,حضن شخص عزيز,8
اذكر شيء لونه أزرق,عامة,السماء,28,البحر,25,الجينز,18,علبة البيبسي,14,كوكب الأرض,10,العيون الزرقاء,5
اذكر شيء لونه أبيض,عامة,الثلج,28,الحليب,22,القطن,18,السكر,14,السحاب,10,الملح,8
اذكر شيء لونه أصفر,عامة,الموز,28,الشمس,25,الليمون,18,الذهب,14,عباد الشمس,10,النجمة,5
اذكر شيء لونه أخضر,عامة,العشب والشجر,28,التفاح الأخضر,22,علم السعودية,18,النعناع,14,الفلفل الأخضر,10,الريحان,8
اذكر شيء يوجد في الحمام,عامة,الصابون والشامبو,28,فرشاة ومعجون الأسنان,22,المنشفة,18,المرآة,14,الدش,10,سلة الغسيل,8
اذكر شيء يوجد في غرفة النوم,عامة,السرير,30,الخزانة,22,الوسادة واللحاف,18,المكيف,14,الستارة,10,الأباجورة,6
اذكر شيء يوجد في الصالة,عامة,التلفزيون,28,الكنب,25,الطاولة,18,السجادة,12,الريموت,10,المكيف,7
اذكر أداة موجودة في المطبخ,عامة,السكين,28,الملعقة الكبيرة,22,المقلاة,18,القدر,14,الخلاط,10,لوح التقطيع,8
اذكر شيء يوجد في المسجد,عامة,السجاد,28,المحراب,22,المنبر,18,المصاحف,14,مكبرات الصوت,10,المكيفات,8
اذكر شيء يوجد في المدرسة,عامة,الطلاب والطالبات,28,المعلمين,22,الملعب,18,المقصف,14,المكتبة,10,الإدارة,8
اذكر شيء ممنوع في الطائرة,عامة,التدخين,28,حمل سوائل كبيرة,22,الأسلحة الحادة,20,الوقوف وقت الإقلاع,14,الجوال بدون وضع الطيران,10,الولاعة,6
اذكر شيء يخلّيك متوتر,عامة,الاختبارات,28,المقابلة الوظيفية,22,الزحمة الشديدة,18,تأخر رحلة الطيران,14,الانتظار الطويل,10,أخبار سيئة,8
اذكر شيء تسويه قبل السفر,عامة,حجز التذاكر والفندق,28,ترتيب شنطة السفر,22,تجديد الجواز,18,شراء المستلزمات,14,تأكيد الحجز,10,وداع الأهل,8
اذكر شيء يعطيك طاقة ونشاط,عامة,القهوة,28,النوم الكافي,22,ممارسة الرياضة,18,الأكل الصحي,14,الشوكولاتة,10,شرب الماء,8
اذكر شيء تحطه في الشاي,عامة,سكر,30,نعناع طازج,22,حليب,18,ليمون,14,هيل,10,عسل,6
اذكر شيء يوجد في الحديقة العامة,عامة,أشجار وورود,28,ألعاب أطفال,22,عشب أخضر,18,مقاعد جلوس,14,ممشى,10,نافورة,8
اذكر شيء يوجد في القهوة العربية,عامة,الهيل,30,البن المحمص,25,الزعفران,18,الماء الساخن,12,القرنفل,10,الزنجبيل,5
اذكر شيء الناس تحطه على الأكل,عامة,الملح,28,الفلفل الأسود,22,الكاتشب,18,عصير الليمون,14,الصلصة الحارة,10,المايونيز,8
اذكر شيء يخلّي البيت نظيف ومرتب,عامة,التنظيف اليومي,28,ترتيب الأغراض,22,المكنسة الكهربائية,18,المماسح,14,المعطرات,10,سلة القمامة,8
اذكر شيء الناس تتمناه في حياتها,عامة,الصحة والعافية,28,المال الكثير,22,السعادة وراحة البال,18,النجاح,14,بيت خاص,10,أسرة سعيدة,8
اذكر شيء يوجد في المحفظة,عامة,فلوس كاش,30,بطاقة البنك,22,بطاقة الهوية,18,رخصة القيادة,14,صور,10,كروت وبطاقات,6
اذكر شيء الناس تخاف منه,عامة,الموت,28,الحشرات والعناكب,22,الظلام,18,المرتفعات العالية,14,الأماكن المغلقة,10,الثعابين,8
اذكر شيء أسرع من السيارة العادية,عامة,الطائرة,35,القطار السريع,25,الصاروخ,18,سيارة السباق,12,الضوء,6,الصوت,4
اذكر شيء يوجد في كل سيارة,عامة,المرايا,28,المقاعد,22,حزام الأمان,18,المسّاحات,14,العجل الاحتياطي,10,البنزين,8
اذكر شيء يجذب انتباه الناس,عامة,الألوان الزاهية,28,الأصوات العالية,22,الحركة المفاجئة,18,الأضواء,14,الروائح القوية,10,الجمال,8
اذكر شيء يخلّيك تحس بالأمان,عامة,وجود الأهل,28,البيت,22,الإيمان والتوكل على الله,18,الاستقرار المالي,14,الصديق الوفي,10,إقفال الباب,8
اذكر شيء يرن أو يصدر صوت تنبيه,عامة,الجوال,30,المنبه,22,جرس الباب,18,الهاتف الأرضي,14,ساعة المنبه,10,جهاز الإنذار,6
اذكر شيء يحتاج شحن,عامة,الجوال,30,اللابتوب,22,الساعة الذكية,18,السيارة الكهربائية,14,سماعات البلوتوث,10,البور بانك,6
اذكر سبب يخلّي الناس تغيّر وظيفتها,عامة,الراتب القليل,28,ضغط العمل الزائد,22,فرصة أفضل,18,المدير السيئ,14,الملل والروتين,10,بعد مكان العمل,8
اذكر شيء يخلّيك فخور بنفسك,عامة,تحقيق النجاح,28,إسعاد الأهل,22,خدمة الوطن,18,إنجاز صعب,14,مساعدة شخص محتاج,10,التخرج,8
اذكر شيء ممتع في الشتاء,عامة,صوت المطر والجلسة,28,جلسة عائلية حول النار,22,شرب القهوة الساخنة,18,الأجواء الباردة المنعشة,14,التغطي بالبطانية,10,طبخ الشوربة,8
اذكر شيء مهم في حياة كل إنسان,عامة,الصحة والعافية,28,الأهل والعائلة,22,الدين والإيمان,18,العلم والمعرفة,14,المال الحلال,10,الصداقة الحقيقية,8
اذكر شيء يحتاج تخطيط مسبق,عامة,السفر,28,الزواج,22,بناء بيت أو مشروع,18,الدراسة الجامعية,14,تنظيم حفلة,10,الميزانية الشهرية,8
اذكر شيء الناس تحب تسمعه,عامة,كلمة مدح وتقدير,28,خبر سعيد,22,شكراً من القلب,18,أحبك,14,إنت ناجح,10,عندك عيدية,8
اذكر شيء تحس فيه وأنت صايم,عامة,الجوع,28,العطش,22,الصبر والإرادة,18,التعب والإرهاق,14,صداع خفيف,10,الخشوع والقرب من الله,8
اذكر صفة حلوة في الإنسان,عامة,الصدق والأمانة,28,الكرم,22,الطيبة ولين القلب,18,الصبر,14,التواضع,10,البشاشة والابتسامة,8
اذكر شيء يخلّي الجو حلو ومنعش,عامة,نزول المطر,28,البرد والنسيم,22,الغيوم,18,فصل الشتاء,14,الرياح الخفيفة,10,الثلج,8
اذكر نوع سيارة دفع رباعي,عامة,لاند كروزر,28,باترول,22,جيب رانجلر,18,تاهو,14,يوكن,10,برادو,8
اذكر شيء يحتاج ماء,عامة,النبات والزراعة,28,الإنسان,22,الطبخ,18,الوضوء والاغتسال,14,غسل الملابس,10,السباحة,8
اذكر سبب انقطاع الإنترنت,عامة,مشكلة في الراوتر,28,صيانة الشبكة,22,فاتورة غير مسددة,18,عطل في الكيبل,14,ضغط كبير على الشبكة,10,أحوال جوية سيئة,8
اذكر أداة من صندوق العدة,عامة,المفك,28,المطرقة,22,الكماشة,18,مفتاح الربط,14,شريط القياس,10,المسامير,8
اذكر شيء تحتاجه في التخييم والبر,عامة,الخيمة,30,الكشاف أو الفانوس,22,حطب للنار,18,ماء وأكل,14,بطانية أو لحاف,10,فحم للشوي,6
اذكر شيء يخلّي الدراسة أسهل,عامة,تنظيم الوقت,28,المذاكرة من بدري,22,عمل ملخصات,18,مجموعة دراسة مع أصدقاء,14,فهم شرح المعلم,10,الدراسة في مكان هادي,8
اذكر سبب تعطّل السيارة,عامة,بنشر العجل,28,خلص البنزين,22,عطل في البطارية,18,ارتفاع حرارة المكينة,14,مشكلة في الزيت,10,حادث,8
اذكر شيء يخلّي الرحلة مملة,عامة,طريق طويل بدون توقف,28,السكوت وعدم السوالف,22,الزحمة,18,عدم وجود إنترنت,14,عدم وجود أكل,10,الحر الشديد,8
اذكر شيء يخلّيك تنسى الوقت,عامة,تصفح الجوال,30,الألعاب الإلكترونية,22,القراءة الممتعة,18,السفر والاستكشاف,14,الجلسة مع الأصدقاء,10,العمل المركز,6
اذكر شيء تحبه في بلدك,عامة,الأمان والاستقرار,28,الأهل والأحبة,22,الحرمين الشريفين,18,الثقافة والعادات,14,جودة الحياة,10,الأكل الشعبي,8
اذكر شيء يخلّيك متفائل,عامة,الصلاة والدعاء,28,وجود الأهل,22,تحقيق هدف,18,منظر الطبيعة,14,بداية يوم جديد,10,القراءة الإيجابية,8
اذكر شيء يوجد في المكتبة,عامة,الكتب والمراجع,30,رفوف الكتب,22,طاولات وكراسي,18,الهدوء التام,14,المجلات,10,الكمبيوترات,6
اذكر شيء موجود في الفضاء,عامة,النجوم,28,الكواكب,22,القمر,18,الشمس,14,المجرات,10,رواد الفضاء,8
اذكر سبب حب الناس للقهوة,عامة,تعطي نشاط وتركيز,28,طعمها اللذيذ,22,عادة يومية,18,جلسة القهوة الحلوة,14,رائحتها المميزة,10,تساعد على التفكير,8
اذكر شيء الناس تصوره بالجوال,عامة,الأكل قبل ما تأكل,28,سيلفي,22,المناظر الطبيعية,18,المناسبات والأعراس,14,الأطفال,10,الغروب والشروق,8
اذكر شيء تتعلمه من الإنترنت,عامة,وصفات الطبخ,28,لغة جديدة,22,البرمجة,18,التصميم,14,تمارين رياضية,10,معلومات عامة,8
اذكر شيء يوجد في المقهى أو الكافيه,عامة,القهوة بأنواعها,28,كراسي وطاولات مريحة,22,واي فاي مجاني,18,كيك وحلويات,14,البارستا,10,موسيقى هادئة,8
اذكر شيء تحتاجه في الصيف,عامة,المكيف,30,ماء بارد كثير,22,الآيس كريم,18,نظارة شمس,14,واقي الشمس,10,المسبح,6
اذكر شيء الناس تخاف تخسره,عامة,الصحة,28,الأهل والعائلة,22,المال,18,الوظيفة,14,الجوال وبياناته,10,الأصدقاء المقربين,8
اذكر شيء يوجد في المستشفى,عامة,أسرّة المرضى,28,الأطباء والممرضين,22,الأجهزة الطبية,18,الأدوية,14,العيادات,10,سيارة الإسعاف,8
اذكر شيء يوجد في البنك,عامة,الأموال والخزنة,28,الصرافين,22,البطاقات البنكية,18,الكاونترات,14,الحراسة الأمنية,10,طابور الانتظار,8
اذكر شيء يوجد في الملاهي,عامة,ألعاب كهربائية,30,أطفال وعائلات,22,آيس كريم وحلويات,18,بالونات,14,التذاكر,10,الزحمة والضحك,6
اذكر شيء يخلّي الأكل لذيذ أكثر,عامة,البهارات المناسبة,28,الملح بالقدر الصحيح,22,عصرة ليمون,18,الصلصة,14,الطبخ على نار هادية,10,أنك جوعان,8
اذكر شيء يوجد في الفندق,عامة,الغرف,28,الاستقبال والريسبشن,22,المسبح,18,المطعم,14,الواي فاي,10,خدمة الغرف,8
اذكر شيء يوجد في محل العطور,عامة,عطور متنوعة,28,البخور,22,دهن العود,18,العود الخام,14,المعمول,10,علب الهدايا,8
اذكر نوع تمر سعودي فاخر,عامة,السكري,30,العجوة المدني,25,الخلاص,18,الصقعي,12,المجدول,10,نبتة علي,5
اذكر شيء يميز الشخص الناجح,عامة,الاجتهاد والعمل الجاد,28,الصبر وعدم الاستسلام,22,التخطيط الجيد,18,حب القراءة والتعلم,14,الثقة بالنفس,10,تنظيم الوقت,8
اذكر شيء الناس تنساه كثير,عامة,شحن الجوال,28,شرب ماء كافي,22,تجديد الاشتراكات,18,أخذ الدواء,14,المفتاح داخل البيت,10,الرد على رسالة,8
اذكر شيء يوجد في الحافلة,عامة,مقاعد الركاب,28,السائق,22,التكييف,18,الشبابيك,14,الباب الأمامي والخلفي,10,ماسكات اليد,8
اذكر شيء يوزعونه في الأعراس,عامة,شوكولاتة فاخرة,28,عصيرات ومشروبات,22,تمر وقهوة,18,البخور والعود,14,الورد الطبيعي,10,علب الهدايا,8
اذكر شيء يشتريه العريس للزواج,عامة,شبكة ذهب,28,تجهيز البيت,22,سيارة,18,أثاث ومفروشات,14,ملابس الزواج,10,العطور والهدايا,8
اذكر شيء تسويه في نهاية الأسبوع,عامة,تنام وترتاح,28,تطلع مع الأهل أو الأصدقاء,22,تروح مطعم أو كافيه,18,تنظف البيت,14,تزور الأهل,10,تتسوق,8
اذكر شيء تشتريه أونلاين,عامة,ملابس وأحذية,28,إلكترونيات وأجهزة,22,أكل وتوصيل,18,كتب ومستلزمات,14,مستحضرات تجميل,10,أثاث ومفروشات,8
اذكر شيء يوجد في كل حفلة,عامة,الأكل والحلويات,28,الناس والمدعوين,22,الأغاني والموسيقى,18,الكيكة,14,التصوير,10,الزينة والبالونات,8
اذكر شيء يتعلمه الطفل أول شيء,عامة,المشي,28,الكلام,25,الأكل بنفسه,18,معرفة الألوان,14,الأرقام والحروف,10,اسم ماما وبابا,5
اذكر شيء يوجد في الشاطئ,عامة,الرمل,28,ماء البحر,25,الشمسية,18,الناس والعائلات,14,الأصداف,10,كراسي الشاطئ,5
اذكر شيء يوجد في قاعة الأفراح,عامة,الكوشة,28,المدعوين,22,بوفيه الأكل,18,الموسيقى أو المنشد,14,الورد والزينة,10,المصور,8
اذكر شيء تسويه صباح يوم العيد,عامة,صلاة العيد,30,لبس ملابس جديدة,22,معايدة الأهل,18,الفطور الجماعي,14,توزيع العيديات,10,التصوير,6
اذكر شيء تسويه قبل الاختبار,عامة,مذاكرة ومراجعة,30,الدعاء والتوكل على الله,22,النوم بدري,18,مراجعة الملخصات,14,شرب قهوة للتركيز,10,تجهيز الأدوات,6
اذكر سبب يخلّي الناس تفقد أعصابها,عامة,الزحمة الشديدة,28,الظلم,22,الإزعاج المتكرر,18,الانتظار الطويل,14,الجوع الشديد,10,قلة النوم,8
اذكر شيء تحبه الأمهات,عامة,سعادة أطفالها,30,الهدوء وراحة البال,22,نظافة وترتيب البيت,18,الطبخ لعائلتها,14,زيارة الأقارب,10,الاهتمام من أبنائها,6
اذكر شيء يخلّيك سعيد في عملك,عامة,الراتب المجزي,28,الزملاء الطيبين,22,التقدير من المدير,18,الإنجاز,14,المرونة في الدوام,10,الإجازات,8
اذكر شيء تسويه أول يوم في السنة الجديدة,عامة,تحط أهداف جديدة,28,تعايد الأهل والأصدقاء,22,تسافر أو تتنزه,18,تتفاءل وتتحمس,14,تزور الأهل,10,ترتاح وتستمتع,8
اذكر شيء يخلّيك تحس بالغيرة,عامة,نجاح صديقك المفاجئ,28,شراء قريبك سيارة جديدة,22,ترقية زميلك بالشغل,18,مقارنة الأهل بغيرك,14,سفر أحد وانت ما تقدر,10,حظ شخص ثاني,8
اذكر سبب يخلّي الصداقة تنتهي,عامة,الخيانة وكشف الأسرار,28,الكذب المتكرر,22,الغيرة والحسد,18,البعد وقلة التواصل,14,سوء الفهم,10,المصالح الشخصية,8
اذكر شيء يقوله الشخص وقت الصلح بعد خناقة,عامة,سامحني,30,ما قصدت أجرحك,22,خلاص نسينا اللي صار,18,أنا غلطان,14,تعال نبدأ من جديد,10,أنا مشتاق لك,6
اذكر شيء تسويه لصديقك وهو مريض,عامة,تزوره,30,تتصل تطمن عليه,22,توصله أكل أو فواكه,18,تدعي له,14,تساعده بأغراضه,10,تجلس معه يسولف,6
اذكر سبب شائع يخلّي الزوجين يتخانقون,عامة,سوء التفاهم,28,المصاريف والفلوس,22,تربية الأولاد,18,قلة الوقت مع بعض,14,تدخل الأهل,10,الغيرة,8
اذكر شيء يفرح فيه الجد أو الجدة,عامة,زيارة الأحفاد,30,لمّة العائلة,22,سماع خبر مولود جديد,18,اتصال الأبناء عليهم,14,تخرج أحد أحفادهم,10,عيدية يوزعونها,6
اذكر شيء يميز الأخ الكبير في العائلة,عامة,يحس بمسؤولية أكبر,28,يوجّه إخوانه الصغار,22,يشيل هم البيت أحياناً,18,قدوة لإخوانه,14,أول من يجرب كل شيء,10,يدافع عن إخوانه,8
اذكر سبب يخلّي الشخص يعتذر,عامة,جرح مشاعر حد,28,التأخير عن موعد,22,الغلط بالشغل,18,نسيان مناسبة مهمة,14,كلام قاله بدون قصد,10,خطأ بسيط,8
اذكر شيء تسويه أول ما توصل بيت أحد لأول مرة,عامة,تسلم على الجميع,30,تخلع حذاءك,22,تمدح البيت,18,تجيب هدية بسيطة,14,تسأل وين تقعد,10,تشكرهم على الدعوة,6
اذكر شيء يدل إن الشخص كذاب,عامة,كلامه يتغير كل مرة,28,يتجنب النظر بعينك,22,يتلخبط وهو يحكي,18,تفاصيل قصته ما تتطابق,14,يتهرب من الأسئلة,10,أصدقاؤه يكذبون معه,8
اذكر شيء يسويه الشخص عشان يسعد شريك حياته,عامة,يسمع له ويهتم فيه,28,يفاجئه بهدية,22,يقضي وقت معه,18,يساعده بأعمال البيت,14,يمدحه ويشجعه,10,يخرج معه بروقة,8
اذكر سبب يخلّي الأصدقاء يتباعدون مع الوقت,عامة,الانشغال بالشغل والعائلة,28,تغيّر الاهتمامات,22,الزواج وتغيّر الأولويات,18,السفر والانتقال,14,قلة المناسبات المشتركة,10,خلاف بسيط ما انحل,8
اذكر أكلة إيطالية مشهورة,عامة,البيتزا,32,الباستا,28,اللازانيا,18,الريزوتو,12,التيراميسو,6,البروسكيوتو,4
اذكر أكلة مكسيكية مشهورة,عامة,التاكو,32,البوريتو,26,الناتشوز,18,الكيساديا,14,الجواكامولي,6,الفاهيتا,4
اذكر أكلة آسيوية مشهورة,عامة,السوشي,30,النودلز,24,الرامن,18,الكاري,14,الدمبلينج,8,سبرينج رول,6
اذكر نوع سلطة مشهورة,عامة,سلطة سيزر,28,التبولة,25,الفتوش,20,سلطة الزبادي بالخيار,14,سلطة الجرجير,8,سلطة الكينوا,5
اذكر نوع شوربة مشهورة,عامة,شوربة العدس,30,شوربة الخضار,22,شوربة الدجاج,20,شوربة الطماطم,14,شوربة الفطر,8,شوربة الشعيرية,6
اذكر حلا غربي مشهور,عامة,الكيك,28,الدونات,22,البراوني,18,الكوكيز,14,الآيس كريم,12,الوافل,6
اذكر نوع فطور غربي,عامة,البان كيك,28,البيض والبيكون,24,الوافل,18,حبوب الفطور (السيريال),14,التوست بالمربى,10,العصير الطازج,6
اذكر مكوّن أساسي في الكبسة,عامة,الأرز,30,اللحم أو الدجاج,26,البهارات المشكّلة,18,البصل,12,الطماطم,8,الزعفران,6
اذكر نوع أرز يُستخدم بالطبخ,عامة,البسمتي,35,المصري,22,الينابيش,16,الأرز الأسمر,12,الجاسمين,9,الأرز المصري القصير,6
اذكر أكلة بحرية مشهورة,عامة,السمك المشوي,28,الروبيان المقلي,24,الكبسة بالسمك,18,المحار,14,الجمبري,10,الكابوريا,6
اذكر مشروب غازي مشهور,عامة,بيبسي,30,كولا,26,سفن أب,18,فانتا,14,ميرندا,8,سبرايت,4
اذكر نوع حلاوة أو سكاكر يحبها الأطفال,عامة,الشوكولاتة,30,السكاكر الملونة,24,الحلقوم,18,العلكة,16,المصاصة (اللولي بوب),12,,
اذكر شيء يُضاف للقهوة العادية (غير العربية),عامة,الحليب,30,السكر,26,الكريمة,18,الكراميل,12,القرفة,8,الفانيليا,6
اذكر نوع فطيرة أو معجنات مشهورة,عامة,الفطائر بالجبن,28,السمبوسة,24,الكرواسون,18,فطيرة السبانخ,14,البيتزا الصغيرة,10,الكيش,6
اذكر أكلة يحبها أغلب الأطفال,عامة,البيتزا,28,البرجر,24,الدجاج المقلي,18,المكرونة بالجبن,14,الناجتس,10,البطاطس المقلية,6
اذكر نوع توابل تدخل في الأكلات الهندية,عامة,الكاري,30,الكركم,24,الكزبرة,16,الهيل,12,الفلفل الحار,10,الكمون,8
اذكر مشروب يُقدّم في المناسبات السعودية,عامة,القهوة العربية,32,الشاي بالحليب,22,عصير الليمون بالنعناع,18,القهوة التركية,14,السحلب,8,عصير التمر هندي,6
اذكر أكلة شعبية مصرية,عامة,الكشري,30,الفول والطعمية,24,الملوخية,18,المحشي,14,الحمام المحشي,8,البصارة,6
اذكر أكلة شعبية شامية (سوريا/لبنان),عامة,الحمص,26,الفتوش,22,الكبة,20,الشاورما,16,المجدرة,10,الورق عنب,6
اذكر أكلة شعبية يمنية,عامة,المندي اليمني,30,السلتة,24,الفحسة,18,العصيد,14,الشفوت,8,البنت الصحن,6
اذكر اسم ملعب كرة قدم مشهور,عامة,ملعب الملك فهد الدولي,28,سانتياغو برنابيو,22,كامب نو,18,أولد ترافورد,14,ملعب لوسيل,10,ملعب ويمبلي,8
اذكر منصب أو مركز في كرة القدم,عامة,مهاجم,28,حارس مرمى,25,مدافع,20,لاعب وسط,18,ظهير,9,,
اذكر لقب بطولة كأس آسيا للأندية أو المنتخبات,عامة,كأس آسيا,35,دوري أبطال آسيا,30,كأس الخليج,20,كأس العرب,15,,,,
اذكر شيء يستخدمه لاعب التنس,عامة,المضرب,30,الكرة,25,الشبكة,18,الملعب المرسوم,14,الحذاء الرياضي,8,الحكم,5
اذكر رياضة أولمبية مشهورة,عامة,العدو والجري,26,السباحة,22,الجمباز,18,رفع الأثقال,14,الجودو,10,رمي الجُلة,10
اذكر مدرب كرة قدم عالمي مشهور,عامة,بيب غوارديولا,28,يورغن كلوب,22,كارلو أنشيلوتي,18,خوسيه مورينيو,16,زين الدين زيدان,10,أنشيلوتي,6
اذكر شيء يحدث لو الفريق فاز ببطولة,عامة,احتفال الجماهير,30,رفع الكأس,25,توزيع الميداليات,18,مسيرة احتفالية,14,مؤتمر صحفي,8,مكافآت للاعبين,5
اذكر لعبة رياضية تُلعب بالأيدي فقط,عامة,كرة اليد,30,كرة السلة,25,الكرة الطائرة,22,البولينغ,13,الرماية,10,,
اذكر اسم بطل عالمي بالفنون القتالية أو الملاكمة,عامة,محمد علي كلاي,30,مايك تايسون,25,خبيب نورمحمدوف,20,كونور ماكريغور,15,مانى باكياو,10,,
اذكر شيء يحتاجه لاعب الغطس,عامة,أنبوب التنفس,28,النظارة,24,الزعانف,20,بدلة الغوص,16,أسطوانة الأكسجين,12,,
اذكر رياضة يمارسها الناس بالنادي الرياضي (الجيم),عامة,رفع الأثقال,30,الجري على المشاية,24,تمارين الكارديو,18,اليوغا,14,السباحة,8,الملاكمة,6
اذكر اسم مسابقة رياضية سعودية كبرى,عامة,دوري روشن السعودي,30,كأس ولي العهد,24,كأس الملك,22,موسم الرياض للرياضة,14,رالي داكار السعودية,10,,
اذكر دولة تشتهر بصناعة السيارات,عامة,اليابان,26,ألمانيا,24,كوريا الجنوبية,18,أمريكا,16,إيطاليا,10,فرنسا,6
اذكر مدينة تشتهر بالأزياء والموضة,عامة,باريس,30,ميلانو,24,نيويورك,20,لندن,16,دبي,10,,
اذكر دولة تشتهر بالشاي,عامة,الصين,28,الهند,26,سريلانكا,20,تركيا,14,بريطانيا,8,اليابان,4
اذكر دولة باردة معروفة بالثلوج,عامة,روسيا,26,كندا,24,السويد,18,النرويج,16,فنلندا,10,سويسرا,6
اذكر جزيرة مشهورة في العالم,عامة,جزر المالديف,26,بالي,22,هاواي,18,سيشل,14,جزيرة سنتوريني,12,جزيرة فرسان,8
اذكر عملة أجنبية مشهورة,عامة,الدولار الأمريكي,32,اليورو,26,الجنيه الإسترليني,18,الين الياباني,12,اليوان الصيني,8,الفرنك السويسري,4
اذكر معلم سياحي عالمي مشهور,عامة,برج إيفل,26,تمثال الحرية,20,برج بيزا المائل,16,سور الصين العظيم,16,تاج محل,12,أهرامات الجيزة,10
اذكر دولة عربية تطل على البحر المتوسط,عامة,مصر,26,لبنان,22,سوريا,18,ليبيا,16,المغرب,10,الجزائر,8
اذكر مدينة سعودية غير الرياض وجدة ومكة والمدينة,عامة,الدمام,26,الطائف,22,أبها,18,تبوك,14,الأحساء,12,حائل,8
اذكر محافظة أو مدينة سعودية تشتهر بالمرتفعات والجو البارد,عامة,أبها,30,الطائف,26,الباحة,20,خميس مشيط,14,النماص,10,,
اذكر شيء يميز جو المباراة في الملعب,عامة,هتاف الجماهير,30,أعلام وألوان الفريق,22,صافرة الحكم,18,الطبول والأهازيج,14,صوت المعلق,10,الأنوار والشاشات,6
اذكر مضيق أو ممر مائي مشهور,عامة,مضيق هرمز,30,قناة السويس,26,مضيق جبل طارق,18,قناة بنما,16,مضيق البسفور,10,,
اذكر سوق شعبي أو تراثي مشهور بالسعودية,عامة,سوق الزل بالرياض,26,سوق قيصرية بأبها,22,البلد بجدة التاريخية,22,سوق المجلز,16,سوق حراج,14,,
اذكر مهرجان أو موسم سعودي مشهور,عامة,موسم الرياض,30,مهرجان الجنادرية,24,موسم جدة,20,مهرجان طنطورة بالعلا,16,موسم أبها,10,,
اذكر لعبة تراثية سعودية قديمة,عامة,العرضة السعودية,26,الصقالة,18,الطاق,18,لعبة السيجا,14,الحجلة,14,الدحّيّة,10
اذكر مشروب تراثي سعودي غير القهوة والشاي,عامة,السحلب,28,القرفة بالحليب,24,الحلبة,20,الكركديه,16,اليانسون,12,,
اذكر لباس تراثي نسائي خليجي,عامة,العباية,32,البخنق,20,الثوب النشل,18,الشيلة,18,البرقع التقليدي,12,,
اذكر حرفة يدوية تراثية سعودية,عامة,السدو,28,صناعة الفخار,22,الخوص وصناعة السلال,18,النقش على الخشب,16,الحياكة والتطريز,16,,
اذكر مناسبة وطنية سعودية,عامة,اليوم الوطني,35,يوم التأسيس,28,يوم العلم,20,ذكرى البيعة,17,,,,
اذكر اسم متحف أو معلم ثقافي سعودي,عامة,المتحف الوطني بالرياض,28,مركز إثراء,26,قصر المصمك,22,متحف العلا,14,متحف التراث بجدة,10,,
اذكر شيء يميز اللهجة النجدية أو الحجازية,عامة,طريقة نطق بعض الحروف,30,كلمات محلية خاصة,26,التعبيرات الشعبية,24,نبرة الكلام,20,,,,
اذكر أكلة يقدمها الأهل بالقصيم أو نجد تحديداً,عامة,المرقوق,30,الجريش,24,القرصان,22,العصيدة,14,المفروكة,10,,
اذكر ملك من ملوك السعودية,عامة,الملك عبدالعزيز,28,الملك سلمان,24,الملك فهد,18,الملك عبدالله,16,الملك خالد,8,الملك فيصل,6
اذكر مخترع مشهور غيّر التاريخ,عامة,توماس إديسون,26,ألكسندر غراهام بيل,22,الأخوان رايت,18,نيكولا تسلا,16,هنري فورد,10,ستيف جوبز,8
اذكر عالم مسلم أسهم في العلوم,عامة,ابن سينا,26,الخوارزمي,24,ابن الهيثم,20,جابر بن حيان,16,الرازي,14,,
اذكر قائد أو فاتح إسلامي مشهور,عامة,خالد بن الوليد,28,صلاح الدين الأيوبي,26,طارق بن زياد,20,عقبة بن نافع,14,محمد الفاتح,12,,
اذكر حضارة قديمة مشهورة,عامة,الحضارة الفرعونية,28,الحضارة الرومانية,22,الحضارة الإغريقية,18,حضارة بابل,14,حضارة الصين القديمة,10,حضارة الإنكا,8
اذكر حدث تاريخي مهم بالقرن العشرين,عامة,الحرب العالمية الثانية,28,هبوط الإنسان على القمر,24,سقوط جدار برلين,18,اكتشاف النفط بالسعودية,16,الحرب العالمية الأولى,14,,
اذكر شيء يحتاجه رائد الفضاء,عامة,بدلة الفضاء,30,خوذة خاصة,24,أكسجين مضغوط,20,مركبة فضائية,16,طعام معلّب خاص,10,,
اذكر عالم فيزياء مشهور,عامة,ألبرت أينشتاين,32,إسحاق نيوتن,26,ستيفن هوكينغ,20,نيكولا تسلا,14,ماري كوري,8,,
اذكر شيء تدرسه في مادة الأحياء,عامة,الخلية,28,جسم الإنسان,24,النباتات,20,الحيوانات,16,الجينات والوراثة,12,,
اذكر ظاهرة فلكية يلاحظها الناس بالسماء,عامة,القمر بدر,28,النجوم اللامعة,22,الشهب,18,كسوف الشمس,18,خسوف القمر,14,,
اذكر حيوان مهدد بالانقراض,عامة,النمر,26,وحيد القرن,22,الباندا,20,الفهد العربي,18,الغوريلا,14,,
اذكر حيوان يعيش بمجموعات كبيرة,عامة,النمل,28,النحل,26,الذئاب,18,الفيلة,14,الطيور المهاجرة,14,,
اذكر حيوان له فرو سميك,عامة,الدب,28,الأرنب,22,الذئب,20,القطة,16,الخروف,14,,
اذكر حيوان يستطيع تسلق الأشجار,عامة,القرد,30,السنجاب,26,القطة,22,الكوالا,14,الثعبان,8,,
